地区,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年
北京,7.8,7.41,6.98,5.97,4.99,4.69,4.09,4.32
天津,8.32,6.91,6.7,6.74,5.39,5.54,5.1,5.0
河北,8.9,7.88,7.42,7.20,5.85,5.71,5.05,5.1
山西,5.44,6.56,6.98,7.38,5.74,5.75,5.20,5.17
内蒙古,6.9,6.135,5.815,5.96,4.625,5.01,5.1,4.57
吉林,6.41,6.36,5.21,5.3,3.86,4.22,4.15,4.41
辽宁,5.88,5.99,5.51,5.332,4.51,4.756,4.418,4.9
黑龙江,6.93,6.47,5.2,5.71,4.25,4.34,4.46,5.06
上海,5.19,5.37,4.91,4.71,3.95,4.05,3.75,3.8
江苏,6.22,5.806,5.422,5.39,4.74,4.668,4.11,4.23
浙江,5.237,4.848,4.397,4.33,3.7,3.74,3.32,3.52
安徽,3.858,4.967,5.19,5.52,4.62,4.64,4.07,4.16
福建,3.945,3.365,3.355,3.455,3.05,2.99,2.65,3.05
江西,5.53,4.58,4.906,4.915,4.06,4.27,3.76,3.90
山东,8.437,7.867,7.06,6.53,5.45,5.76,5.14,5.22
河南,7.76,7.52,7.20,6.36,5.70,5.688,5.03,5.123
湖北,5.57,6.01,5.356,5.22,4.47,4.64,3.94,4.20
湖南,5.93,5.268,5.02,4.88,4.148,4.52,3.8,4.07
广东,4.65,4.02,3.96,4.24,3.64,3.83,3.08,3.467
广西,4.91,4.27,3.98,4.0,3.64,3.6,3.11,3.6
海南,2.6,2.52,2.58,2.51,2.19,2.47,2.11,2.28
重庆,5.78,5.31,5.27,5.06,4.24,4.28,4.03,4.0
四川,6.647,5.078,5.05,4.99,4.07,3.996,3.7,4.23
贵州,4.29,3.87,4.0,3.61,3.09,3.16,2.8,3.24
云南,4.07,3.67,3.71,3.82,3.29,3.45,3.06,3.79
西藏,3.45,3.34,3.84,3.06,2.42,2.39,2.3,2.2
陕西,6.87,6.07,6.94,6.88,5.64,5.60,5.01,5.38
甘肃,6.09,6.25,6.77,6.82,5.47,5.35,5.06,4.99
青海,5.98,5.72,6.15,5.44,4.58,4.54,4.5,4.44
宁夏,6.04,6.27,6.57,6.62,4.72,4.54,4.73,4.33
新疆,7.28,6.87,7.03,6.72,5.36,5.29,4.89,5.25